,country,year,GDPPerCapita,exportsShareGDP,taxRevenueShareGDP,importsShareGDP,yearJoinEU,euJoin2004
264,Slovenia,2005,18169.18091,59.57994063,21.06720118,60.2175399,2004,EU Member
283,Slovenia,2006,19726.1265,64.69539306,20.83755211,64.74322833,2004,EU Member
302,Slovenia,2007,23841.31792,67.5970601,20.02955902,68.8949044,2004,EU Member
321,Slovenia,2008,27501.81027,66.108834,19.39492279,68.03551904,2004,EU Member
340,Slovenia,2009,24633.79785,57.24267828,18.04130246,55.37385863,2004,EU Member
359,Slovenia,2010,23437.47202,64.28811476,18.11282925,62.85321541,2004,EU Member
378,Slovenia,2011,24985.24827,70.37395513,17.91762013,68.53834618,2004,EU Member
397,Slovenia,2012,22532.43564,73.12463254,17.95506951,68.90661887,2004,EU Member
416,Slovenia,2013,23357.9392,74.51709496,18.00613113,68.95777257,2004,EU Member
435,Slovenia,2014,24202.43084,75.8134789,18.17819515,68.41448011,2004,EU Member
454,Slovenia,2015,20873.16111,76.99218179,18.49885581,68.40445524,2004,EU Member
473,Slovenia,2016,21650.21276,77.65409474,18.55501345,68.49812477,2004,EU Member
492,Slovenia,2017,23597.29173,82.21077922,NA,72.55322069,2004,EU Member
511,Slovenia,2018,NA,NA,NA,NA,2004,EU Member
19,Ukraine,1992,1378.639729,23.98092494,NA,21.98996572,9999,No EU Member
38,Ukraine,1993,1257.349855,25.87794136,NA,26.19087764,9999,No EU Member
57,Ukraine,1994,1011.98643,35.38884835,NA,38.5551534,9999,No EU Member
76,Ukraine,1995,935.9852577,47.07324897,NA,50.15644644,9999,No EU Member
95,Ukraine,1996,872.7091664,45.65193117,NA,48.20471207,9999,No EU Member
114,Ukraine,1997,991.2301315,40.5912252,NA,43.65018898,9999,No EU Member
133,Ukraine,1998,835.2603274,41.88784579,NA,44.16187971,9999,No EU Member
152,Ukraine,1999,635.7727285,53.70378974,12.99175088,48.24791535,9999,No EU Member
171,Ukraine,2000,635.7128467,62.44487564,14.10037044,57.413418,9999,No EU Member
190,Ukraine,2001,780.7380243,52.51604237,12.07313068,51.48511454,9999,No EU Member
209,Ukraine,2002,879.4750486,52.16232989,13.11147594,48.49417084,9999,No EU Member
228,Ukraine,2003,1048.522488,54.68504291,13.66777031,52.77365922,9999,No EU Member
247,Ukraine,2004,1367.352433,60.25506416,13.28863237,53.51677611,9999,No EU Member
266,Ukraine,2005,1828.717626,48.74552459,17.13981874,48.43125384,9999,No EU Member
285,Ukraine,2006,2303.018831,44.14905946,17.76488074,47.31265475,9999,No EU Member
304,Ukraine,2007,3068.608998,42.46326874,16.50071456,48.3502702,9999,No EU Member
323,Ukraine,2008,3891.037823,44.4321852,17.88010191,52.51512198,9999,No EU Member
342,Ukraine,2009,2545.480341,43.91311781,16.38775215,45.95322066,9999,No EU Member
361,Ukraine,2010,2965.142365,47.05340086,15.57052141,51.08667656,9999,No EU Member
380,Ukraine,2011,3569.757027,49.81634488,18.5150528,56.42546756,9999,No EU Member
399,Ukraine,2012,3855.42128,47.72077977,18.31655714,56.37228415,9999,No EU Member
418,Ukraine,2013,4029.715504,42.95671984,17.56138078,52.19294594,9999,No EU Member
437,Ukraine,2014,3104.658296,48.59296182,17.29434784,52.09882067,9999,No EU Member
456,Ukraine,2015,2124.662666,52.59767951,20.45136542,55.20893679,9999,No EU Member
475,Ukraine,2016,2185.728031,49.29861946,19.63011981,56.22258546,9999,No EU Member
494,Ukraine,2017,2639.824326,47.94731337,20.04098668,55.60893353,9999,No EU Member
513,Ukraine,2018,NA,NA,NA,NA,9999,No EU Member
